PAC4GC_38658443	EB27023.1	mrna-11262	g6656.t1	mrna-7713	mrna-754
PAC4GC_38589252	EB48857.2	mrna-8655	g76037.t1	mrna-3287	mrna-5892
PAC4GC_38589648	EB48642.1	mrna-8657	g76038.t1	mrna-3289	mrna-5894
PAC4GC_38590749	EB48997.1	mrna-2524	g76047.t1	mrna-3291	mrna-5890
PAC4GC_38590590	EB49494.1	mrna-2523	g76049.t1	mrna-3292	mrna-5886
PAC4GC_38590301	EB48431.6	mrna-2607	g76050.t1	mrna-3293	mrna-5887
PAC4GC_38591131	EB49013.2	mrna-2573	g76063.t1	mrna-3294	mrna-5888
PAC4GC_38591870	EB49177.1	mrna-2608	g76066.t1	mrna-3295	mrna-5889
PAC4GC_38589461	EB48804.1	mrna-2526	g76179.t1	mrna-3317	mrna-5867
PAC4GC_38589690	EB49487.1	mrna-2527	g76167.t1	mrna-3315	mrna-5869
PAC4GC_38591737	EB49505.1	mrna-8750	g76295.t1	mrna-9249	mrna-5744
PAC4GC_38589060	EB48832.1	mrna-8667	g76282.t1	mrna-9251	mrna-5742
PAC4GC_38592278	EB48713.1	mrna-8759	g76281.t1	mrna-9252	mrna-5741
PAC4GC_38591116	EB49113.5	mrna-8559	g76275.t1	mrna-9253	mrna-5740
PAC4GC_38590299	EB48939.1	mrna-8760	g76225.t1	mrna-3345	mrna-5845
PAC4GC_38592332	EB49483.1	mrna-8729	g76207.t1	mrna-3338	mrna-5850
PAC4GC_38589855	EB48975.1	mrna-8731	g76205.t1	mrna-3336	mrna-5852
PAC4GC_38589931	EB49154.2	mrna-8732	g76204.t1	mrna-3334	mrna-5853
PAC4GC_38590658	EB48740.1	mrna-8734	g76202.t1	mrna-3329	mrna-5855
PAC4GC_38589536	EB48674.1	mrna-2553	g76191.t1	mrna-3324	mrna-5858
PAC4GC_38590991	EB48657.1	mrna-2577	g76102.t1	mrna-3300	mrna-5883
PAC4GC_38589761	EB49484.1	mrna-2578	g76103.t1	mrna-3301	mrna-5882
PAC4GC_38591053	EB49319.1	mrna-2579	g76104.t1	mrna-3303	mrna-5881
PAC4GC_38592399	EB48919.2	mrna-2580	g76105.t1	mrna-3305	mrna-5880
PAC4GC_38591185	EB49266.1	mrna-2581	g76106.t1	mrna-3306	mrna-5879
PAC4GC_38589358	EB49137.1	mrna-8683	g75112.t1	mrna-5321	mrna-6124
PAC4GC_38592106	EB48903.1	mrna-8681	g75121.t1	mrna-6455	mrna-6063
PAC4GC_38591101	EB49493.1	mrna-8676	g75132.t1	mrna-6460	mrna-6059
PAC4GC_38591415	EB49142.1	mrna-8675	g75135.t1	mrna-6461	mrna-6058
PAC4GC_38591365	EB48435.1	mrna-8673	g75137.t1	mrna-6463	mrna-6056
PAC4GC_38589602	EB49470.1	mrna-8710	g75139.t1	mrna-6465	mrna-6054
PAC4GC_38589851	EB49235.1	mrna-8573	g75141.t1	mrna-6466	mrna-6053
PAC4GC_38589884	EB48729.1	mrna-8584	g75160.t1	mrna-6481	mrna-6051
PAC4GC_38589005	EB48833.1	mrna-8585	g75161.t1	mrna-6482	mrna-6050
PAC4GC_38591510	EB48765.1	mrna-8634	g75173.t1	mrna-6487	mrna-6047
PAC4GC_38590190	EB49345.1	mrna-8632	g75183.t1	mrna-6489	mrna-6045
PAC4GC_38592376	EB49200.2	mrna-8629	g75202.t1	mrna-6491	mrna-6007
PAC4GC_38591664	EB48893.2	mrna-8628	g75203.t1	mrna-6492	mrna-6006
PAC4GC_38590724	EB49280.1	mrna-8626	g75206.t1	mrna-6494	mrna-6004
PAC4GC_38590124	EB49210.1	mrna-8625	g75210.t1	mrna-6495	mrna-6003
PAC4GC_38591876	EB49492.2	mrna-8624	g75211.t1	mrna-6496	mrna-6002
PAC4GC_38590855	EB49359.2	mrna-8623	g75213.t1	mrna-6497	mrna-6001
PAC4GC_38592363	EB48755.1	mrna-8619	g75389.t1	mrna-6501	mrna-6011
PAC4GC_38589085	EB48712.1	mrna-4983	g74599.t1	mrna-12910	mrna-6082
PAC4GC_38591087	EB49178.1	mrna-5016	g74598.t1	mrna-12909	mrna-6083
PAC4GC_38589992	EB49369.1	mrna-5015	g74597.t1	mrna-12908	mrna-6084
PAC4GC_38589187	EB48943.1	mrna-5014	g74596.t1	mrna-12907	mrna-6085
PAC4GC_38589331	EB49416.2	mrna-4976	g74588.t1	mrna-12904	mrna-6087
PAC4GC_38591836	EB49028.1	mrna-4975	g74587.t1	mrna-12903	mrna-6088
PAC4GC_38592059	EB49302.1	mrna-4974	g74586.t1	mrna-12902	mrna-6089
PAC4GC_38589145	EB48788.1	mrna-5109	g74535.t1	mrna-12899	mrna-5981
PAC4GC_38589621	EB48927.1	mrna-5186	g74529.t1	mrna-12898	mrna-5979
PAC4GC_38590689	EB49167.1	mrna-5190	g74469.t1	mrna-16865	mrna-5976
PAC4GC_38590758	EB49335.1	mrna-5191	g74467.t1	mrna-16863	mrna-5975
PAC4GC_38589687	EB48626.1	mrna-5192	g74466.t1	mrna-5317	mrna-6119
PAC4GC_38591677	EB48906.1	mrna-4990	g74081.t1	mrna-9103	mrna-5949
PAC4GC_38591249	EB49173.1	mrna-4992	g75697.t1	mrna-9101	mrna-5951
PAC4GC_38589239	EB49383.1	mrna-4993	g75698.t1	mrna-9100	mrna-5952
PAC4GC_38590081	EB49364.1	mrna-5221	g75731.t1	mrna-16454	mrna-5954
PAC4GC_38591374	EB49303.1	mrna-5166	g75740.t1	mrna-16455	mrna-5955
PAC4GC_38590566	EB49425.1	mrna-5167	g75748.t2	mrna-16456	mrna-5956
PAC4GC_38589755	EB49181.1	mrna-5168	g75753.t2	mrna-16457	mrna-5957
PAC4GC_38589454	EB48926.1	mrna-5118	g75893.t1	mrna-15587	mrna-5920
PAC4GC_38589417	EB49453.1	mrna-5154	g75849.t1	mrna-12937	mrna-5726
PAC4GC_38591942	EB49237.1	mrna-5027	g75851.t1	mrna-12934	mrna-5913
PAC4GC_38591359	EB49276.1	mrna-5028	g75852.t2	mrna-12933	mrna-5914
PAC4GC_38589040	EB49096.1	mrna-5029	g75866.t1	mrna-15593	mrna-5915
PAC4GC_38589981	EB48744.1	mrna-5220	g75885.t2	mrna-15589	mrna-5918
PAC4GC_38589489	EB49224.1	mrna-5120	g75889.t1	mrna-15591	mrna-5917
PAC4GC_38590745	EB49197.1	mrna-5119	g75890.t1	mrna-15592	mrna-5916
PAC4GC_38589718	EB49222.3	mrna-2535	g74919.t1	mrna-4329	mrna-6114
PAC4GC_38590741	EB49238.1	mrna-2534	g74923.t1	mrna-4328	mrna-6113
PAC4GC_38592215	EB49331.1	mrna-2533	g74932.t1	mrna-4326	mrna-6111
PAC4GC_38592151	EB49049.1	mrna-2530	g74935.t1	mrna-4325	mrna-6105
PAC4GC_38592244	EB49239.1	mrna-2529	g118991.t1	mrna-4324	mrna-6106
PAC4GC_38591879	EB49312.1	mrna-2528	g118992.t1	mrna-4323	mrna-6107
PAC4GC_38591642	EB49420.1	mrna-5085	g75587.t1	mrna-792	mrna-6035
PAC4GC_38590535	EB49406.1	mrna-5088	g75669.t1	mrna-6421	mrna-5965
PAC4GC_38592050	EB49191.1	mrna-2522	g74994.t1	mrna-4310	mrna-6095
PAC4GC_38590735	EB48898.1	mrna-2778	g75040.t1	transcript-42457	mrna-6091
PAC4GC_38592216	EB48549.1	mrna-2590	g76151.t1	mrna-3314	mrna-5870
PAC4GC_38590362	EB48571.1	mrna-2596	g75926.t1	mrna-3275	mrna-5906
PAC4GC_38590791	EB49245.1	mrna-5123	g75917.t1	mrna-3270	mrna-5909
PAC4GC_38590430	EB39423.1	mrna-5124	g75918.t1	mrna-3271	mrna-5910
PAC4GC_38590841	EB49081.1	mrna-5164	g75911.t1	mrna-3268	mrna-5734
PAC4GC_38591122	EB48840.1	mrna-5163	g75909.t1	mrna-3267	mrna-5733
PAC4GC_38592356	EB49077.1	mrna-5162	g75901.t1	mrna-3266	mrna-5732
PAC4GC_38590776	EB48684.1	mrna-5155	g75833.t1	mrna-3261	mrna-5727
PAC4GC_38591291	EB48998.1	mrna-2472	g74152.t2	mrna-6439	mrna-5940
PAC4GC_38591508	EB48458.1	mrna-5125	g74147.t1	mrna-6437	mrna-5942
PAC4GC_38591740	EB48699.1	mrna-5090	g75673.t1	mrna-6423	mrna-5923
PAC4GC_38590884	EB49033.1	mrna-5091	g75674.t1	mrna-6424	mrna-5924
PAC4GC_38589010	EB48966.1	mrna-5092	g74082.t1	mrna-6425	mrna-5925
PAC4GC_38590907	EB48466.1	mrna-5094	g74084.t1	mrna-6427	mrna-5927
PAC4GC_38590185	EB48700.4	mrna-5095	g74085.t1	mrna-6428	mrna-5928
PAC4GC_38589941	EB49471.1	mrna-5039	g74087.t1	mrna-6433	mrna-5929
PAC4GC_38589664	EB08523.1	mrna-5216	g74089.t1	mrna-6432	mrna-5932
PAC4GC_38590653	EB48817.1	mrna-5215	g74090.t1	mrna-6431	mrna-5931
PAC4GC_38590154	EB48566.1	mrna-5214	g74108.t1	mrna-6430	mrna-5930
PAC4GC_38589031	EB49169.1	mrna-5213	g74109.t1	mrna-6429	mrna-5934
PAC4GC_38589159	EB48405.1	mrna-2585	g76114.t1	mrna-3310	mrna-5875
PAC4GC_38591697	EB48982.1	mrna-2520	g74988.t1	mrna-4312	mrna-6097
PAC4GC_38589615	EB49180.1	mrna-2519	g74986.t1	mrna-4313	mrna-6098
PAC4GC_38591481	EB48782.1	mrna-2518	g74985.t1	mrna-4316	mrna-6099
PAC4GC_38589095	EB48670.1	mrna-2516	g74983.t1	mrna-4318	mrna-6101
PAC4GC_38591019	EB49171.1	mrna-2552	g76187.t1	mrna-3323	mrna-5859
PAC4GC_38589272	EB48914.1	mrna-724	g74652.t1	mrna-12920	mrna-6070
PAC4GC_38590375	EB48510.1	mrna-740	g74648.t1	mrna-12919	mrna-6072
PAC4GC_38589734	EB49377.1	mrna-5010	g74633.t1	mrna-12917	mrna-6074
PAC4GC_38591284	EB49408.1	mrna-5011	g74632.t1	mrna-12916	mrna-6075
PAC4GC_38589233	EB49482.1	mrna-4978	g74626.t1	transcript-31108	mrna-6077
PAC4GC_38590548	EB49308.1	mrna-4979	g74618.t1	mrna-12914	mrna-6078
PAC4GC_38589287	EB49349.1	mrna-4980	g74617.t1	mrna-12913	mrna-6079
PAC4GC_38592160	EB49459.1	mrna-4981	g74612.t1	mrna-12912	mrna-6080
PAC4GC_38591507	EB48548.1	mrna-4982	g74611.t1	mrna-12911	mrna-6081
PAC4GC_38589705	EB48489.1	mrna-734	g75409.t1	mrna-6503	mrna-6014
PAC4GC_38591236	EB48673.1	mrna-5116	g75411.t1	mrna-6505	mrna-6016
PAC4GC_38589449	EB48691.1	mrna-5114	g75427.t1	mrna-6507	mrna-6019
PAC4GC_38589934	EB49317.1	mrna-5113	g75436.t1	mrna-6508	mrna-6020
PAC4GC_38590562	EB48563.1	mrna-5112	g75437.t1	mrna-6509	mrna-6021
PAC4GC_38590394	EB48688.1	mrna-5111	g75438.t1	mrna-6510	mrna-6022
PAC4GC_38589218	EB48887.1	mrna-4972	g75447.t1	mrna-16922	mrna-6023
PAC4GC_38617039	EB16575.1	mrna-4579	g59924.t1	mrna-3859	mrna-6546
PAC4GC_38616938	EB16183.1	mrna-4580	g59901.t1	mrna-3858	mrna-6547
PAC4GC_38618517	EB15840.1	mrna-4581	g59888.t1	mrna-3856	mrna-6564
PAC4GC_38618883	EB15905.1	mrna-4582	g119341.t1	mrna-3855	mrna-6563
PAC4GC_38616927	EB16503.1	mrna-4583	g119342.t1	transcript-9971	transcript-4014
PAC4GC_38619642	EB15753.1	transcript-2118	g59887.t1	transcript-9969	transcript-4013
PAC4GC_38617662	EB15826.1	mrna-4585	g59857.t1	mrna-3852	mrna-6556
PAC4GC_38618373	EB15862.1	mrna-4586	g59850.t1	mrna-3851	mrna-6550
PAC4GC_38619635	EB15503.3	mrna-4587	g59840.t1	mrna-3849	mrna-6536
PAC4GC_38619088	EB16357.2	mrna-4907	g117920.t1	mrna-3890	mrna-6870
PAC4GC_38618396	EB15888.1	mrna-4910	g59468.t1	mrna-3893	mrna-6867
PAC4GC_38618001	EB15811.1	mrna-4911	g59467.t1	mrna-3894	mrna-6866
PAC4GC_38617825	EB16133.1	mrna-4912	g59465.t1	mrna-3895	mrna-6865
PAC4GC_38618946	EB16449.2	mrna-4915	g59459.t1	mrna-3900	mrna-6862
PAC4GC_38617091	EB15532.1	mrna-4916	g59457.t1	mrna-3901	mrna-6861
PAC4GC_38619152	EB15884.1	mrna-4917	g59446.t1	mrna-3902	mrna-6860
PAC4GC_38617098	EB15527.1	mrna-4813	g61466.t1	mrna-16444	mrna-6724
PAC4GC_38618412	EB15728.1	mrna-4801	g61566.t1	mrna-4166	mrna-6744
PAC4GC_38618932	EB15466.1	mrna-4779	g61530.t1	mrna-5211	mrna-6747
PAC4GC_38618168	EB16021.1	mrna-4797	g61598.t1	mrna-4170	mrna-6733
PAC4GC_38619794	EB16382.1	mrna-4795	g61604.t1	mrna-4171	mrna-6561
PAC4GC_38617128	EB16578.3	mrna-4794	g61609.t1	mrna-4173	mrna-6554
PAC4GC_38616939	EB15514.1	mrna-4793	g61610.t1	mrna-4174	mrna-6553
PAC4GC_38617323	EB15737.1	mrna-4792	g61611.t1	mrna-4175	mrna-6552
PAC4GC_38619067	EB15775.1	mrna-4791	g61647.t1	mrna-4177	mrna-6510
PAC4GC_38618335	EB16084.1	mrna-4783	g61649.t1	mrna-4183	mrna-6517
PAC4GC_38619486	EB15974.1	mrna-4742	g61652.t1	mrna-4185	mrna-6519
PAC4GC_38619174	EB16386.1	mrna-4740	g61656.t1	mrna-4187	mrna-6521
PAC4GC_38618033	EB16201.1	mrna-4738	g61659.t1	mrna-4190	mrna-6523
PAC4GC_38616839	EB15618.1	mrna-4735	g61665.t1	mrna-4192	mrna-6525
PAC4GC_38617334	EB16509.1	mrna-4733	g61668.t1	mrna-4193	mrna-6527
PAC4GC_38619148	EB15571.1	mrna-4610	g61887.t1	mrna-4194	mrna-6528
PAC4GC_38618353	EB16235.1	mrna-4611	g61885.t1	transcript-10733	transcript-4009
PAC4GC_38618244	EB16128.2	mrna-4614	g61854.t1	mrna-4203	mrna-6548
PAC4GC_38618640	EB16016.1	mrna-4615	g61845.t1	mrna-4204	mrna-6549
PAC4GC_38617854	EB15525.1	mrna-4934	g62198.t1	mrna-7183	mrna-6813
PAC4GC_38619393	EB15801.1	mrna-4933	g62196.t1	mrna-7182	mrna-6711
PAC4GC_38619727	EB16462.1	mrna-4932	g62194.t1	mrna-7181	mrna-6712
PAC4GC_38619730	EB15975.1	mrna-4931	g62193.t1	mrna-7180	mrna-6713
PAC4GC_38618761	EB16447.2	mrna-4806	g62178.t1	mrna-14220	mrna-6715
PAC4GC_38617165	EB15707.1	mrna-4807	g62162.t1	mrna-14217	mrna-6716
PAC4GC_38616740	EB15876.1	mrna-4701	g61190.t1	mrna-13064	mrna-6655
PAC4GC_38619472	EB16198.1	mrna-4702	g61191.t1	mrna-13063	mrna-6653
PAC4GC_38617737	EB16260.1	mrna-4703	g61192.t1	mrna-13062	mrna-6656
PAC4GC_38619954	EB16020.1	mrna-4706	g61195.t1	mrna-13060	mrna-6658
PAC4GC_38619311	EB15925.1	mrna-4825	g61202.t1	mrna-13056	mrna-6661
PAC4GC_38619785	EB15572.1	mrna-4575	g60693.t1	mrna-7213	mrna-6849
PAC4GC_38618836	EB16049.1	mrna-4928	g59417.t1	mrna-7210	mrna-6853
PAC4GC_38618990	EB16152.2	mrna-4922	g59423.t1	mrna-7272	mrna-6855
PAC4GC_38618259	EB16398.1	mrna-4919	g59440.t1	mrna-7270	mrna-6857
PAC4GC_38619901	EB15424.1	mrna-4867	g60775.t1	mrna-7261	mrna-6690
PAC4GC_38619566	EB16205.1	mrna-4846	g60774.t1	mrna-7262	mrna-6689
PAC4GC_38617070	EB15702.1	mrna-4845	g60773.t1	mrna-7263	mrna-6688
PAC4GC_38617706	EB15530.1	mrna-4844	g60772.t1	mrna-7264	mrna-6687
PAC4GC_38618889	EB15467.1	mrna-4866	g60778.t1	mrna-7260	mrna-6691
PAC4GC_38619667	EB15399.1	mrna-4865	g60779.t1	mrna-7259	mrna-6692
PAC4GC_38618401	EB16537.1	mrna-4861	g60786.t1	mrna-7215	mrna-6695
PAC4GC_38617821	EB16306.1	mrna-4860	g60787.t1	mrna-7216	mrna-6696
PAC4GC_38618709	EB15592.1	mrna-4859	g60795.t1	mrna-7217	mrna-6697
PAC4GC_38619771	EB15997.2	mrna-4872	g60806.t1	mrna-7218	mrna-6698
PAC4GC_38616850	EB15391.1	mrna-4870	g60818.t1	mrna-7219	mrna-6699
PAC4GC_38619659	EB16490.1	mrna-4869	g60830.t1	mrna-7220	mrna-6700
PAC4GC_38618634	EB16368.1	mrna-4858	g60873.t1	mrna-7222	mrna-6702
PAC4GC_38616975	EB15565.2	mrna-4873	g60896.t1	mrna-7223	mrna-6703
PAC4GC_38619885	EB16086.1	mrna-4875	g60903.t1	mrna-7225	mrna-6705
PAC4GC_38617018	EB16159.1	mrna-4876	g60904.t1	mrna-7226	mrna-6706
PAC4GC_38617814	EB15634.1	mrna-4877	g60905.t1	mrna-7227	mrna-6707
PAC4GC_38619627	EB16186.2	mrna-4878	g60907.t1	mrna-7228	mrna-6708
PAC4GC_38617002	EB16207.1	mrna-4879	g60909.t2	mrna-7229	mrna-6709
PAC4GC_38619525	EB16103.1	mrna-4893	g61161.t1	mrna-13080	mrna-6580
PAC4GC_38616962	EB15986.1	mrna-4899	g61164.t1	mrna-13076	mrna-6577
PAC4GC_38619194	EB16310.1	mrna-4900	g61170.t1	mrna-13075	mrna-6576
PAC4GC_38617287	EB15673.1	mrna-4901	g61171.t1	mrna-13074	mrna-6575
PAC4GC_38617032	EB16153.2	mrna-4902	g61172.t1	mrna-13073	mrna-6573
PAC4GC_38618457	EB16097.1	mrna-4904	g61174.t1	mrna-13071	mrna-6571
PAC4GC_38616873	EB15921.1	mrna-4905	g61176.t1	mrna-13070	mrna-6570
PAC4GC_38619967	EB16469.1	mrna-4906	g61177.t1	mrna-13069	mrna-6569
PAC4GC_38618286	EB16452.1	mrna-4847	g60061.t1	mrna-7250	mrna-6765
PAC4GC_38619282	EB16113.1	mrna-4842	g59723.t1	mrna-14806	mrna-6843
PAC4GC_38616871	EB15938.1	mrna-4744	g60082.t1	mrna-17807	mrna-6648
PAC4GC_38617154	EB16189.1	mrna-4750	g60102.t1	mrna-17802	mrna-6636
PAC4GC_38616827	EB16062.1	mrna-4577	g59704.t1	mrna-3871	mrna-6485
PAC4GC_38618089	EB16359.1	mrna-4578	g59705.t1	mrna-3870	mrna-6531
PAC4GC_38618493	EB15491.1	mrna-4599	g59706.t1	mrna-3869	mrna-6532
PAC4GC_38618937	EB16353.1	mrna-4598	g59713.t1	mrna-3867	mrna-6560
PAC4GC_38617297	EB15581.1	mrna-4597	g59716.t1	mrna-3866	mrna-6559
PAC4GC_38616670	EB16050.1	mrna-4821	g61279.t1	mrna-15453	mrna-6763
PAC4GC_38618964	EB16350.1	mrna-4820	g61281.t1	mrna-15454	mrna-6762
PAC4GC_38619939	EB15641.1	mrna-4827	g61224.t1	mrna-15774	mrna-6663
PAC4GC_38618942	EB16288.1	mrna-4831	g61237.t1	mrna-15441	mrna-6678
PAC4GC_38618020	EB16238.1	mrna-4708	g61267.t1	mrna-15448	mrna-6682
PAC4GC_38618918	EB15676.1	transcript-2187	g61266.t1	transcript-37960	transcript-4037
PAC4GC_38619192	EB15662.1	mrna-4832	g61238.t1	mrna-15442	mrna-6679
PAC4GC_38619190	EB15426.1	mrna-4774	g60190.t1	mrna-4164	mrna-6642
PAC4GC_38617222	EB15793.1	mrna-4769	g60142.t1	mrna-17784	mrna-6645
PAC4GC_38618618	EB16209.1	mrna-4767	g60141.t1	mrna-17785	mrna-6593
PAC4GC_38617717	EB16160.1	mrna-4766	g60140.t1	mrna-17786	mrna-6594
PAC4GC_38616642	EB16468.1	mrna-4765	g60138.t1	mrna-17787	mrna-6595
PAC4GC_38619510	EB16143.1	mrna-4763	g60134.t1	mrna-17788	mrna-6596
PAC4GC_38617473	EB15959.1	mrna-4761	g60127.t1	mrna-17790	mrna-6599
PAC4GC_38617997	EB16432.1	mrna-4760	g60124.t1	mrna-17791	mrna-6600
PAC4GC_38616807	EB16077.1	mrna-4759	g60123.t1	mrna-17792	mrna-6601
PAC4GC_38616946	EB16008.1	mrna-4768	g60122.t1	mrna-17793	mrna-6602
PAC4GC_38618274	EB15669.1	mrna-4758	g60121.t1	mrna-17794	mrna-6627
PAC4GC_38618549	EB16396.1	mrna-4756	g60108.t1	mrna-17797	mrna-6630
PAC4GC_38618391	EB15473.1	mrna-4755	g60107.t1	mrna-17798	mrna-6631
PAC4GC_38617424	EB15939.1	mrna-4710	g62029.t1	mrna-14215	mrna-6833
PAC4GC_38616896	EB15697.6	mrna-4712	g61984.t1	mrna-13280	mrna-6605
PAC4GC_38618798	EB15555.2	mrna-4714	g61971.t1	mrna-13283	mrna-6607
PAC4GC_38618146	EB15979.1	mrna-4716	g61961.t1	mrna-13285	mrna-6609
PAC4GC_38619364	EB16085.2	mrna-4721	g61950.t1	mrna-13290	mrna-6889
PAC4GC_38619035	EB15954.1	mrna-4722	g61944.t1	mrna-13291	mrna-6890
PAC4GC_38617449	EB15459.1	mrna-4926	g61921.t1	mrna-13302	mrna-6752
PAC4GC_38618682	EB15984.1	mrna-4924	g61910.t1	mrna-13305	mrna-6755
PAC4GC_38617508	EB16531.1	mrna-4670	g61909.t1	mrna-13306	mrna-6756
PAC4GC_38616843	EB15384.1	mrna-4656	g61673.t1	mrna-13314	mrna-6499
PAC4GC_38617094	EB16370.1	mrna-4653	g61695.t1	mrna-13320	mrna-6809
PAC4GC_38618302	EB15784.1	mrna-4652	g61698.t1	mrna-13321	mrna-6808
PAC4GC_38619273	EB15708.1	mrna-4651	g61699.t2	mrna-13322	mrna-6806
PAC4GC_38617873	EB15861.1	mrna-4650	g61716.t2	mrna-13323	mrna-6805
PAC4GC_38619829	EB15947.1	mrna-4621	g61735.t1	mrna-4235	mrna-6798
PAC4GC_38619440	EB15944.1	mrna-4619	g61774.t1	mrna-4233	mrna-6796
PAC4GC_38617526	EB16285.1	mrna-4897	g61147.t1	mrna-17897	mrna-6584
PAC4GC_38617798	EB15969.1	mrna-4892	g61137.t1	mrna-17896	mrna-6585
PAC4GC_38619363	EB15998.1	mrna-4940	g62216.t1	mrna-7189	mrna-6821
PAC4GC_38619677	EB15936.1	mrna-4939	g62215.t1	mrna-7188	mrna-6820
PAC4GC_38617780	EB15990.1	mrna-4938	g62210.t1	mrna-7187	mrna-6819
PAC4GC_38619923	EB16488.1	mrna-4936	g62206.t1	mrna-7185	mrna-6817
PAC4GC_38616728	EB16515.3	mrna-4624	g61841.t1	mrna-4206	mrna-6779
PAC4GC_38619212	EB16024.1	mrna-4626	g61839.t1	mrna-4207	mrna-6780
PAC4GC_38617282	EB16210.1	mrna-4635	g61836.t1	mrna-4218	mrna-6783
PAC4GC_38618050	EB16043.1	mrna-4636	g61835.t1	mrna-4219	mrna-6784
PAC4GC_38618810	EB15551.1	mrna-4637	g61834.t1	mrna-4220	mrna-6785
PAC4GC_38618095	EB16569.1	mrna-4638	g61828.t1	mrna-4221	mrna-6786
PAC4GC_38619647	EB15400.1	mrna-4639	g61824.t1	mrna-4224	mrna-6789
PAC4GC_38619936	EB15723.1	mrna-4643	g61796.t1	mrna-4225	mrna-6790
PAC4GC_38618342	EB15817.1	mrna-4644	g61789.t1	mrna-4226	mrna-6791
PAC4GC_38617522	EB15841.2	mrna-4645	g61782.t1	mrna-4228	mrna-6792
PAC4GC_38617082	EB16576.1	mrna-4646	g61781.t1	mrna-4230	mrna-6793
PAC4GC_38617455	EB15633.1	transcript-2135	g61780.t1	mrna-4231	mrna-6794
PAC4GC_38616960	EB15750.1	mrna-4618	g61776.t1	mrna-4232	mrna-6795
PAC4GC_38619989	EB15429.1	transcript-2212	g62235.t1	transcript-17354	transcript-4110
PAC4GC_38619201	EB15794.1	mrna-4943	g62236.t1	mrna-7192	mrna-6824
PAC4GC_38618864	EB16239.1	mrna-4947	g60207.t1	mrna-7196	mrna-6619
PAC4GC_38619526	EB16308.1	mrna-4948	g60221.t1	mrna-7197	mrna-6618
PAC4GC_38618953	EB15637.1	mrna-4699	g60223.t1	mrna-7200	mrna-6616
PAC4GC_38619124	EB15705.1	mrna-4697	g60226.t1	mrna-7201	mrna-6614
PAC4GC_38618724	EB16559.1	mrna-4696	g60227.t1	mrna-7202	mrna-6777
PAC4GC_38618161	EB16108.1	mrna-4695	g60353.t1	mrna-7203	mrna-6776
PAC4GC_38618556	EB15457.1	mrna-4694	g60441.t1	mrna-7208	mrna-6775
PAC4GC_38618647	EB07236.1	mrna-4690	g60614.t1	mrna-3914	mrna-6771
PAC4GC_38616700	EB15513.1	mrna-4689	g60622.t1	mrna-3913	mrna-6848
PAC4GC_38618371	EB16419.1	mrna-4688	g60623.t1	mrna-3912	mrna-8794
PAC4GC_38618229	EB15716.2	mrna-4687	g60624.t1	mrna-3911	mrna-6847
PAC4GC_38619268	EB15714.1	mrna-4942	g62228.t1	mrna-7191	mrna-6823
PAC4GC_38618670	EB16078.1	mrna-4571	g60932.t1	mrna-14513	mrna-6603
PAC4GC_38618780	EB16289.1	mrna-4802	g60941.t1	mrna-14327	mrna-6734
PAC4GC_38617434	EB15701.1	mrna-4803	g60942.t1	mrna-14326	mrna-6735
PAC4GC_38616672	EB16009.1	mrna-4804	g60943.t1	mrna-14325	mrna-6736
PAC4GC_38618399	EB15967.1	mrna-4887	g60983.t1	mrna-14320	mrna-6739
PAC4GC_38617568	EB16416.1	mrna-4888	g60991.t1	mrna-14319	mrna-6740
PAC4GC_38619792	EB15754.1	mrna-4889	g61131.t1	mrna-17893	mrna-6588
PAC4GC_38619907	EB16233.1	mrna-4891	g61135.t1	mrna-17895	mrna-6586
PAC4GC_38645468	EB46006.1	mrna-4343	g66930.t1	mrna-14138	mrna-7495
PAC4GC_38647489	EB45730.1	mrna-4342	g66939.t1	mrna-14137	mrna-7497
PAC4GC_38647513	EB45669.1	mrna-4298	g67006.t1	mrna-9133	mrna-7387
PAC4GC_38645567	EB46139.1	mrna-4299	g67226.t1	mrna-9132	mrna-7310
PAC4GC_38645660	EB45736.1	mrna-2312	g68910.t1	mrna-10704	mrna-7412
PAC4GC_38646550	EB45650.1	mrna-2318	g119053.t1	mrna-10710	mrna-7418
PAC4GC_38645573	EB45601.1	mrna-2272	g68370.t1	mrna-5025	mrna-7360
PAC4GC_38647675	EB45690.1	mrna-2338	g68134.t1	mrna-14650	mrna-7464
PAC4GC_38646403	EB45992.1	mrna-11620	g68630.t1	mrna-4962	mrna-7295
PAC4GC_38645301	EB46138.1	mrna-2432	g68631.t1	mrna-4963	mrna-7296
PAC4GC_38647655	EB46220.1	mrna-2431	g68635.t1	mrna-4964	mrna-7297
PAC4GC_38645826	EB45954.1	mrna-2430	g68637.t1	mrna-4965	mrna-7298
PAC4GC_38646585	EB45997.1	mrna-2398	g68524.t1	mrna-5037	mrna-7375
PAC4GC_38645607	EB45656.1	mrna-2399	g68523.t1	mrna-5036	mrna-7374
PAC4GC_38646600	EB45919.2	mrna-2402	g68497.t1	mrna-5034	mrna-7372
PAC4GC_38646542	EB45909.1	mrna-2404	g68487.t1	mrna-5032	mrna-7370
PAC4GC_38645870	EB45988.2	mrna-4315	g67332.t1	mrna-8515	mrna-7327
PAC4GC_38646629	EB45812.1	mrna-4316	g67671.t1	mrna-8513	mrna-7328
PAC4GC_38646040	EB45645.1	mrna-4317	g67668.t1	mrna-8512	mrna-7329
